onset	duration	stimulus
19.03	4.0	tless
29.53	0.0	rinse
29.6	11.0	0cal
47.1	0.0	rinse
57.19	5.0	tless
68.69	0.0	rinse
68.77	6.0	75cal
81.27	0.0	rinse
89.39	4.0	37.5cal
99.89	0.0	rinse
107.99	6.0	150cal
120.49	0.0	rinse
129.6	5.0	112.5cal
141.1	0.0	rinse
151.2	5.0	tless
162.7	0.0	rinse
162.76	11.0	75cal
180.26	0.0	rinse
188.37	4.0	112.5cal
198.87	0.0	rinse
207.97	6.0	37.5cal
220.47	0.0	rinse
232.56	4.0	37.5cal
243.06	0.0	rinse
258.17	11.0	tless
275.67	0.0	rinse
275.74	8.0	150cal
290.24	0.0	rinse
298.32	11.0	0cal
315.82	0.0	rinse
325.92	4.0	0cal
336.42	0.0	rinse
346.52	6.0	75cal
359.02	0.0	rinse
368.11	4.0	37.5cal
378.61	0.0	rinse
393.73	4.0	150cal
404.23	0.0	rinse
413.32	6.0	112.5cal
425.82	0.0	rinse
433.91	11.0	112.5cal
451.41	0.0	rinse
459.51	4.0	0cal
470.01	0.0	rinse
482.12	8.0	tless
496.62	0.0	rinse
496.7	8.0	150cal
511.2	0.0	rinse
519.3	4.0	0cal
529.8	0.0	rinse
538.91	5.0	150cal
550.41	0.0	rinse
562.52	5.0	tless
574.02	0.0	rinse
574.09	6.0	112.5cal
586.59	0.0	rinse
598.68	11.0	112.5cal
616.18	0.0	rinse
624.28	5.0	75cal
635.78	0.0	rinse
650.88	8.0	37.5cal
665.38	0.0	rinse
677.48	4.0	37.5cal
687.98	0.0	rinse
703.07	8.0	75cal
717.57	0.0	rinse
727.66	4.0	150cal
738.16	0.0	rinse
746.27	8.0	75cal
760.77	0.0	rinse
768.87	4.0	0cal
779.37	0.0	rinse
