onset	duration	stimulus
19.03	4.0	112.5cal
25.5	0.0	rinse
37.65	8.0	tless
44.2	0.0	rinse
52.22	11.0	75cal
58.7	0.0	rinse
77.81	6.0	0cal
84.3	0.0	rinse
98.41	4.0	112.5cal
104.9	0.0	rinse
117.01	5.0	tless
123.5	0.0	rinse
128.58	6.0	37.5cal
135.1	0.0	rinse
153.18	11.0	37.5cal
159.7	0.0	rinse
178.78	8.0	0cal
185.3	0.0	rinse
203.39	5.0	0cal
209.9	0.0	rinse
223.98	4.0	150cal
230.5	0.0	rinse
249.59	4.0	tless
256.1	0.0	rinse
260.14	6.0	tless
266.6	0.0	rinse
272.71	4.0	112.5cal
279.2	0.0	rinse
292.31	11.0	150cal
298.8	0.0	rinse
319.91	4.0	37.5cal
326.4	0.0	rinse
342.51	5.0	37.5cal
349.0	0.0	rinse
369.1	8.0	75cal
375.6	0.0	rinse
392.69	4.0	150cal
399.2	0.0	rinse
415.31	4.0	112.5cal
421.8	0.0	rinse
435.92	5.0	112.5cal
442.4	0.0	rinse
455.52	11.0	tless
462.0	0.0	rinse
473.08	6.0	tless
479.6	0.0	rinse
485.65	8.0	0cal
492.1	0.0	rinse
510.25	5.0	37.5cal
516.7	0.0	rinse
536.84	4.0	112.5cal
543.3	0.0	rinse
555.45	4.0	150cal
562.0	0.0	rinse
578.06	6.0	75cal
584.6	0.0	rinse
605.65	8.0	75cal
612.2	0.0	rinse
632.25	11.0	37.5cal
638.7	0.0	rinse
659.83	8.0	150cal
666.3	0.0	rinse
682.42	6.0	150cal
688.9	0.0	rinse
703.01	4.0	0cal
709.5	0.0	rinse
728.61	11.0	0cal
735.1	0.0	rinse
754.21	4.0	75cal
760.7	0.0	rinse
773.81	5.0	75cal
780.3	0.0	rinse
