onset	duration	stimulus
19.05	4.0	112.5cal
29.55	0.0	rinse
37.67	8.0	tless
52.17	0.0	rinse
52.23	11.0	75cal
69.73	0.0	rinse
77.82	6.0	0cal
90.32	0.0	rinse
98.44	4.0	112.5cal
108.94	0.0	rinse
117.04	5.0	tless
128.54	0.0	rinse
128.61	6.0	37.5cal
141.11	0.0	rinse
153.23	11.0	37.5cal
170.73	0.0	rinse
178.83	8.0	0cal
193.33	0.0	rinse
203.42	5.0	0cal
214.92	0.0	rinse
224.03	4.0	150cal
234.53	0.0	rinse
249.64	4.0	tless
260.14	0.0	rinse
260.21	6.0	tless
272.71	0.0	rinse
272.78	4.0	112.5cal
283.28	0.0	rinse
292.37	11.0	150cal
309.87	0.0	rinse
319.99	4.0	37.5cal
330.49	0.0	rinse
342.6	5.0	37.5cal
354.1	0.0	rinse
369.19	8.0	75cal
383.69	0.0	rinse
392.8	4.0	150cal
403.3	0.0	rinse
415.39	4.0	112.5cal
425.89	0.0	rinse
436.0	5.0	112.5cal
447.5	0.0	rinse
455.6	11.0	tless
473.1	0.0	rinse
473.16	6.0	tless
485.66	0.0	rinse
485.74	8.0	0cal
500.24	0.0	rinse
510.34	5.0	37.5cal
521.84	0.0	rinse
536.94	4.0	112.5cal
547.44	0.0	rinse
555.53	4.0	150cal
566.03	0.0	rinse
578.14	6.0	75cal
590.64	0.0	rinse
605.74	8.0	75cal
620.24	0.0	rinse
632.34	11.0	37.5cal
649.84	0.0	rinse
659.95	8.0	150cal
674.45	0.0	rinse
682.56	6.0	150cal
695.06	0.0	rinse
703.16	4.0	0cal
713.66	0.0	rinse
728.75	11.0	0cal
746.25	0.0	rinse
754.35	4.0	75cal
764.85	0.0	rinse
773.96	5.0	75cal
785.46	0.0	rinse
