onset	duration	stimulus
19.03	4.0	112.5cal
29.53	0.0	rinse
37.64	8.0	tless
52.14	0.0	rinse
52.2	11.0	75cal
69.7	0.0	rinse
77.82	6.0	0cal
90.32	0.0	rinse
98.42	4.0	112.5cal
108.92	0.0	rinse
117.03	5.0	tless
128.53	0.0	rinse
128.6	6.0	37.5cal
141.1	0.0	rinse
153.18	11.0	37.5cal
170.68	0.0	rinse
178.79	8.0	0cal
193.29	0.0	rinse
203.4	5.0	0cal
214.9	0.0	rinse
224.0	4.0	150cal
234.5	0.0	rinse
249.59	4.0	tless
260.09	0.0	rinse
260.16	6.0	tless
272.66	0.0	rinse
272.71	4.0	112.5cal
283.21	0.0	rinse
292.3	11.0	150cal
309.8	0.0	rinse
319.91	4.0	37.5cal
330.41	0.0	rinse
342.5	5.0	37.5cal
354.0	0.0	rinse
369.1	8.0	75cal
383.6	0.0	rinse
392.71	4.0	150cal
403.21	0.0	rinse
415.29	4.0	112.5cal
425.79	0.0	rinse
435.89	5.0	112.5cal
447.39	0.0	rinse
455.49	11.0	tless
472.99	0.0	rinse
473.06	6.0	tless
485.56	0.0	rinse
485.64	8.0	0cal
500.14	0.0	rinse
510.23	5.0	37.5cal
521.73	0.0	rinse
536.82	4.0	112.5cal
547.32	0.0	rinse
555.43	4.0	150cal
565.93	0.0	rinse
578.04	6.0	75cal
590.54	0.0	rinse
605.65	8.0	75cal
620.15	0.0	rinse
632.24	11.0	37.5cal
649.74	0.0	rinse
659.85	8.0	150cal
674.35	0.0	rinse
682.47	6.0	150cal
694.97	0.0	rinse
703.06	4.0	0cal
713.56	0.0	rinse
728.67	11.0	0cal
746.17	0.0	rinse
754.26	4.0	75cal
764.76	0.0	rinse
773.87	5.0	75cal
785.37	0.0	rinse
